question,answer,chunk,chunk_id,source
What can you do to promote MLflow Models across environments?,"To promote MLflow Models across environments, you can use the copy_model_version() method to copy model versions across registered models.","each registered model corresponds to a specific environment. Furthermore, you can configure access controls for the registered models using MLflow Authentication. Then, to promote MLflow Models across environments, you can use the copy_model_version() method to copy model versions across registered models. client = MlflowClient() client.copy_model_version( src_model_uri=""models:/regression-model-staging@candidate"", dst_name=""regression-model-production"", ) This code snippet copies the model version with the candidate alias in the regression-model-staging model to the regression-model-production model as the latest version. Adding or Updating an MLflow Model Descriptions At any point in a model’s lifecycle development, you can update a model version’s description using update_model_version(). client = MlflowClient() client.update_model_version( name=""sk-learn-random-forest-reg-model"", version=1, description=""This model version is a scikit-learn random forest containing 100 decision trees"", ) Renaming an MLflow Model As well as adding or updating a description of a specific version of the model, you can rename an existing registered model using rename_registered_model(). client = MlflowClient() client.rename_registered_model( name=""sk-learn-random-forest-reg-model"", new_name=""sk-learn-random-forest-reg-model-100"", ) Listing and Searching MLflow Models You can fetch a list of registered models in the registry with a simple method. from pprint import pprint client =",10,model-registry.html
How can you fetch a list of registered models in the MLflow registry?,"You can fetch a list of registered models in the MLflow registry by using the `search_registered_models()` method provided by the `MlflowClient` class. This method returns a list of registered models, and you can iterate over the list to access the details of each model. Additionally, you can use the `pprint` module to print the details of each model in a more readable format.",") Listing and Searching MLflow Models You can fetch a list of registered models in the registry with a simple method. from pprint import pprint client = MlflowClient() for rm in client.search_registered_models(): pprint(dict(rm), indent=4) This outputs: { 'creation_timestamp': 1582671933216, 'description': None, 'last_updated_timestamp': 1582671960712, 'latest_versions': [<ModelVersion: creation_timestamp=1582671933246, current_stage='Production', description='A random forest model containing 100 decision trees trained in scikit-learn', last_updated_timestamp=1582671960712, name='sk-learn-random-forest-reg-model', run_id='ae2cc01346de45f79a44a320aab1797b', source='./mlruns/0/ae2cc01346de45f79a44a320aab1797b/artifacts/sklearn-model', status='READY', status_message=None, user_id=None, version=1>, <ModelVersion: creation_timestamp=1582671960628, current_stage='None', description=None, last_updated_timestamp=1582671960628, name='sk-learn-random-forest-reg-model', run_id='d994f18d09c64c148e62a785052e6723', source='./mlruns/0/d994f18d09c64c148e62a785052e6723/artifacts/sklearn-model', status='READY', status_message=None, user_id=None, version=2>], 'name': 'sk-learn-random-forest-reg-model'} With hundreds of models, it can be cumbersome to peruse the results returned from this call. A more efficient approach would be to search for a specific model name and list its version details using search_model_versions() method and provide a filter string such as",11,model-registry.html
What is the name of the model and its version details?,The name of the model is 'sk-learn-random-forest-reg-model' and it has two versions. Version 1 of the model was created on 1582671933246 and is currently in the 'Production' stage. It is a random forest model containing 100 decision trees trained in scikit-learn. Version 2 of the model was created on 1582671960628 and is not assigned to any stage.,"returned from this call. A more efficient approach would be to search for a specific model name and list its version details using search_model_versions() method and provide a filter string such as ""name='sk-learn-random-forest-reg-model'"" client = MlflowClient() for mv in client.search_model_versions(""name='sk-learn-random-forest-reg-model'""): pprint(dict(mv), indent=4) This outputs: { ""creation_timestamp"": 1582671933246, ""current_stage"": ""Production"", ""description"": ""A random forest model containing 100 decision trees "" ""trained in scikit-learn"", ""last_updated_timestamp"": 1582671960712, ""name"": ""sk-learn-random-forest-reg-model"", ""run_id"": ""ae2cc01346de45f79a44a320aab1797b"", ""source"": ""./mlruns/0/ae2cc01346de45f79a44a320aab1797b/artifacts/sklearn-model"", ""status"": ""READY"", ""status_message"": None, ""user_id"": None, ""version"": 1, } { ""creation_timestamp"": 1582671960628, ""current_stage"": ""None"", ""description"": None, ""last_updated_timestamp"": 1582671960628, ""name"": ""sk-learn-random-forest-reg-model"", ""run_id"": ""d994f18d09c64c148e62a785052e6723"", ""source"": ""./mlruns/0/d994f18d09c64c148e62a785052e6723/artifacts/sklearn-model"", ""status"": ""READY"", ""status_message"": None, ""user_id"": None, ""version"": 2, } Deleting MLflow Models Note Deleting registered models or model versions is irrevocable, so use it judiciously. You can either delete specific versions of a registered model or you can delete a registered model and all its versions. # Delete versions 1,2, and 3 of the model client =",12,model-registry.html
What is the purpose of saving the model in pickled format?,"The purpose of saving the model in pickled format is to store the trained model object in a serialized form. This allows the model to be easily loaded into memory at a later time without having to retrain it. Pickling is a way to convert a Python object into a byte stream, which can then be saved to a file. By saving the model in pickled format, it can be shared, deployed, or used for inference on new data without the need for the original training code or data.","# Make predictions using the testing set diabetes_y_pred = lr_model.predict(diabetes_X_test) print_predictions(lr_model, diabetes_y_pred) # save the model in the native sklearn format filename = ""lr_model.pkl"" pickle.dump(lr_model, open(filename, ""wb"")) Coefficients: [938.23786125] Mean squared error: 2548.07 Coefficient of determination: 0.47 Once saved in pickled format, we can load the sklearn model into memory using pickle API and register the loaded model with the Model Registry. import mlflow from mlflow.models import infer_signature import numpy as np from sklearn import datasets # load the model into memory loaded_model = pickle.load(open(filename, ""rb"")) # create a signature for the model based on the input and output data diabetes_X, diabetes_y = datasets.load_diabetes(return_X_y=True) diabetes_X = diabetes_X[:, np.newaxis, 2] signature = infer_signature(diabetes_X, diabetes_y) # log and register the model using MLflow scikit-learn API mlflow.set_tracking_uri(""sqlite:///mlruns.db"") reg_model_name = ""SklearnLinearRegression"" print(""--"") mlflow.sklearn.log_model( loaded_model, ""sk_learn"", serialization_format=""cloudpickle"", signature=signature, registered_model_name=reg_model_name, ) -- Successfully registered model 'SklearnLinearRegression'. 2021/04/02 16:30:57 INFO mlflow.tracking._model_registry.client: Waiting up to 300 seconds for model version to finish creation. Model name: SklearnLinearRegression, version 1 Created version '1' of model",15,model-registry.html
What is an MLflow Model and what is its purpose?,"An MLflow Model is a standard format for packaging machine learning models that can be used in a variety of downstream tools. Its purpose is to provide a convention that lets you save a model in different 'flavors' that can be understood by different downstream tools. Flavors are the key concept that makes MLflow Models powerful, as they allow deployment tools to understand the model without having to integrate each tool with each library.","Documentation MLflow Models MLflow Models An MLflow Model is a standard format for packaging machine learning models that can be used in a variety of downstream tools—for example, real-time serving through a REST API or batch inference on Apache Spark. The format defines a convention that lets you save a model in different “flavors” that can be understood by different downstream tools. Table of Contents Storage Format Model Signature And Input Example Model API Built-In Model Flavors Model Evaluation Model Customization Built-In Deployment Tools Deployment to Custom Targets Community Model Flavors Storage Format Each MLflow Model is a directory containing arbitrary files, together with an MLmodel file in the root of the directory that can define multiple flavors that the model can be viewed in. Flavors are the key concept that makes MLflow Models powerful: they are a convention that deployment tools can use to understand the model, which makes it possible to write tools that work with models from any ML library without having to integrate each tool with each library. MLflow defines several “standard” flavors that all of its built-in deployment tools support, such as a “Python function” flavor that describes how to run the model as a Python function. However, libraries can also define and use other flavors. For example, MLflow’s mlflow.sklearn library allows loading models back as a scikit-learn Pipeline object for use in code that is aware of scikit-learn, or as a generic",0,models.html
What are the flavors defined in the MLmodel file for the mlflow.sklearn library?,The flavors defined in the MLmodel file for the mlflow.sklearn library are sklearn and python_function. The sklearn flavor allows loading models back as a scikit-learn Pipeline object for use in code that is aware of scikit-learn. The python_function flavor allows loading models as a generic Python function for use in tools that just need to apply the model.,"define and use other flavors. For example, MLflow’s mlflow.sklearn library allows loading models back as a scikit-learn Pipeline object for use in code that is aware of scikit-learn, or as a generic Python function for use in tools that just need to apply the model (for example, the mlflow deployments tool with the option -t sagemaker for deploying models to Amazon SageMaker). All of the flavors that a particular model supports are defined in its MLmodel file in YAML format. For example, mlflow.sklearn outputs models as follows: # Directory written by mlflow.sklearn.save_model(model, ""my_model"") my_model/ ├── MLmodel ├── model.pkl ├── conda.yaml ├── python_env.yaml └── requirements.txt And its MLmodel file describes two flavors: time_created: 2018-05-25T17:28:53.35 flavors: sklearn: sklearn_version: 0.19.1 pickled_model: model.pkl python_function: loader_module: mlflow.sklearn This model can then be used with any tool that supports either the sklearn or python_function model flavor. For example, the mlflow models serve command can serve a model with the python_function or the crate (R Function) flavor: mlflow models serve -m my_model Note If you wish to serve a model from inside a docker container (or to query it from another machine), you need to change the network address to 0.0.0.0 using the -h argument. mlflow models serve -h 0.0.0.0 -m my_model In addition, the mlflow deployments command-line tool can package and deploy models to AWS SageMaker as long as they support the",1,models.html
What command can be used to package and deploy models to AWS SageMaker?,The mlflow deployments command-line tool can be used to package and deploy models to AWS SageMaker.,"using the -h argument. mlflow models serve -h 0.0.0.0 -m my_model In addition, the mlflow deployments command-line tool can package and deploy models to AWS SageMaker as long as they support the python_function flavor: mlflow deployments create -t sagemaker -m my_model [other options] Note When a model registered in the MLflow Model Registry is downloaded, a YAML file named registered_model_meta is added to the model directory on the downloader’s side. This file contains the name and version of the model referenced in the MLflow Model Registry, and will be used for deployment and other purposes. Fields in the MLmodel Format Apart from a flavors field listing the model flavors, the MLmodel YAML format can contain the following fields: time_createdDate and time when the model was created, in UTC ISO 8601 format. run_idID of the run that created the model, if the model was saved using MLflow Tracking. signaturemodel signature in JSON format. input_examplereference to an artifact with input example. databricks_runtimeDatabricks runtime version and type, if the model was trained in a Databricks notebook or job. mlflow_versionThe version of MLflow that was used to log the model. Additional Logged Files For environment recreation, we automatically log conda.yaml, python_env.yaml, and requirements.txt files whenever a model is logged. These files can then be used to reinstall dependencies using conda or virtualenv with pip. Note Anaconda Inc. updated their terms of service for",2,models.html
What is the default channel logged for models using MLflow v1.18 and above?,"The default channel logged for models using MLflow v1.18 and above is conda-forge, which points at the community managed https://conda-forge.org/.","and requirements.txt files whenever a model is logged. These files can then be used to reinstall dependencies using conda or virtualenv with pip. Note Anaconda Inc. updated their terms of service for anaconda.org channels. Based on the new terms of service you may require a commercial license if you rely on Anaconda’s packaging and distribution. See Anaconda Commercial Edition FAQ for more information. Your use of any Anaconda channels is governed by their terms of service. MLflow models logged before v1.18 were by default logged with the conda defaults channel (https://repo.anaconda.com/pkgs/) as a dependency. Because of this license change, MLflow has stopped the use of the defaults channel for models logged using MLflow v1.18 and above. The default channel logged is now conda-forge, which points at the community managed https://conda-forge.org/. If you logged a model before MLflow v1.18 without excluding the defaults channel from the conda environment for the model, that model may have a dependency on the defaults channel that you may not have intended. To manually confirm whether a model has this dependency, you can examine channel value in the conda.yaml file that is packaged with the logged model. For example, a model’s conda.yaml with a defaults channel dependency may look like this: name: mlflow-env channels: - defaults dependencies: - python=3.8.8 - pip - pip: - mlflow==2.3 - scikit-learn==0.23.2 - cloudpickle==1.6.0 If you would like to change the channel used in a",3,models.html
What information is stored in the conda.yaml file?,"The conda.yaml file stores the channel used in a model's environment and the dependencies required by the model. It also contains information about the Python version, version specifiers for pip, setuptools, and wheel, and the pip requirements of the model. Additional pip dependencies can be added to requirements.txt by including them as a pip dependency in the conda environment and logging the model with the environment or using the pip_requirements argument of the mlflow.<flavor>.log_model API.","like this: name: mlflow-env channels: - defaults dependencies: - python=3.8.8 - pip - pip: - mlflow==2.3 - scikit-learn==0.23.2 - cloudpickle==1.6.0 If you would like to change the channel used in a model’s environment, you can re-register the model to the model registry with a new conda.yaml. You can do this by specifying the channel in the conda_env parameter of log_model(). For more information on the log_model() API, see the MLflow documentation for the model flavor you are working with, for example, mlflow.sklearn.log_model(). conda.yamlWhen saving a model, MLflow provides the option to pass in a conda environment parameter that can contain dependencies used by the model. If no conda environment is provided, a default environment is created based on the flavor of the model. This conda environment is then saved in conda.yaml. python_env.yamlThis file contains the following information that’s required to restore a model environment using virtualenv: Python version Version specifiers for pip, setuptools, and wheel Pip requirements of the model (reference to requirements.txt) requirements.txtThe requirements file is created from the pip portion of the conda.yaml environment specification. Additional pip dependencies can be added to requirements.txt by including them as a pip dependency in a conda environment and logging the model with the environment or using the pip_requirements argument of the mlflow.<flavor>.log_model API. The following shows an example of saving a model",4,models.html
How can you save a model with a manually specified conda environment?,"You can save a model with a manually specified conda environment by using the conda_env parameter of the mlflow.sklearn.log_model API. This parameter allows you to specify the channels, dependencies, and name of the conda environment. For example, you can define the conda environment as follows: conda_env = { 'channels': ['conda-forge'], 'dependencies': ['python=3.8.8', 'pip'], 'pip': ['mlflow==2.3', 'scikit-learn==0.23.2', 'cloudpickle==1.6.0'], 'name': 'mlflow-env' } Then, you can pass this conda_env parameter to the mlflow.sklearn.log_model function to save the model with the specified conda environment.","in a conda environment and logging the model with the environment or using the pip_requirements argument of the mlflow.<flavor>.log_model API. The following shows an example of saving a model with a manually specified conda environment and the corresponding content of the generated conda.yaml and requirements.txt files. conda_env = { ""channels"": [""conda-forge""], ""dependencies"": [""python=3.8.8"", ""pip""], ""pip"": [""mlflow==2.3"", ""scikit-learn==0.23.2"", ""cloudpickle==1.6.0""], ""name"": ""mlflow-env"", } mlflow.sklearn.log_model(..., conda_env=conda_env) The written conda.yaml file: name: mlflow-env channels: - conda-forge dependencies: - python=3.8.8 - pip - pip: - mlflow==2.3 - scikit-learn==0.23.2 - cloudpickle==1.6.0 The written python_env.yaml file: python: 3.8.8 build_dependencies: - pip==21.1.3 - setuptools==57.4.0 - wheel==0.37.0 dependencies: - -r requirements.txt The written requirements.txt file: mlflow==2.3 scikit-learn==0.23.2 cloudpickle==1.6.0 Model Signature And Input Example When working with ML models you often need to know some basic functional properties of the model at hand, such as “What inputs does it expect?” and “What output does it produce?”. MLflow models can include the following additional metadata about model inputs, outputs and params that can be used by downstream tooling: Model Inference Params - description of params used for model inference. Model Signature - description of a model’s inputs, outputs and parameters. Model Input Example - example of a",5,models.html
What are inference params and how are they used during model inference?,"Inference params are parameters that are passed to the model at inference time. These parameters do not need to be specified when training the model, but could be useful for inference. With the advances in foundational models, more often 'inference configuration' is used to modify the behavior of a model. In some cases, especially popular LLMs, the same model may require different parameter configurations for different samples at inference time. By passing different params such as temperature, max_length, etc. to the model at inference time, you can easily control the output of the model. In order to use params at inference time, a valid Model Signature with params must be defined. The params are passed to the model at inference time as a dictionary and each param value will be validated against the corresponding param type defined in the model signature.","tooling: Model Inference Params - description of params used for model inference. Model Signature - description of a model’s inputs, outputs and parameters. Model Input Example - example of a valid model input. Model Inference Params Inference params are parameters that are passed to the model at inference time. These parameters do not need to be specified when training the model, but could be useful for inference. With the advances in foundational models, more often “inference configuration” is used to modify the behavior of a model. In some cases, especially popular LLMs, the same model may require different parameter configurations for different samples at inference time. With this newly introduced feature, you can now specify a dictionary of inference params during model inference, providing a broader utility and improved control over the generated inference results, particularly for LLM use cases. By passing different params such as temperature, max_length, etc. to the model at inference time, you can easily control the output of the model. In order to use params at inference time, a valid Model Signature with params must be defined. The params are passed to the model at inference time as a dictionary and each param value will be validated against the corresponding param type defined in the model signature. Valid param types are DataType or a list of DataType as listed below. DataType.string or an array of DataType.string DataType.integer or an array of DataType.integer",6,models.html
